"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"115226",11726,"RAGkgUNS2yvf",0,1,"magnitude","switch",8,73,1650.93499992508,465068,73,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115227",11727,"RAGkgUNS2yvf",0,1,"parity","switch",2,69,1002.03999993391,466571,69,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115228",11728,"RAGkgUNS2yvf",0,1,"magnitude","switch",7,73,2233.89999999199,469307,73,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115229",11729,"RAGkgUNS2yvf",0,1,"parity","switch",8,69,634.599999990314,470444,69,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115230",11730,"RAGkgUNS2yvf",0,1,"parity","repeat",7,73,1161.82499995921,472107,73,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115231",11731,"RAGkgUNS2yvf",0,1,"magnitude","switch",7,73,1874.68000000808,474483,73,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115232",11732,"RAGkgUNS2yvf",0,1,"parity","switch",1,73,923.175000003539,475908,73,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115233",11733,"RAGkgUNS2yvf",0,1,"magnitude","switch",4,69,1441.83000002522,477851,69,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115234",11734,"RAGkgUNS2yvf",0,1,"parity","switch",8,69,1058.84000007063,479411,69,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"115235",11735,"RAGkgUNS2yvf",0,1,"magnitude","switch",9,73,1203.66999995895,481116,73,1,"purple","31","male","They were clear.","I liked the purple because it was easier on the eyes for me.","I did not.","It was a little harder to look at the blue background; it was more intense.",8,8,8,5,6,9,9,9,4,9,"Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
